SalesOrderID	RevisionNumber	OrderDate	DueDate	ShipDate	Status	OnlineOrderFlag	SalesOrderNumber	PurchaseOrderNumber	AccountNumber	CustomerID	SalesPersonID	TerritoryID	BillToAddressID	ShipToAddressID	ShipMethodID	CreditCardID	CreditCardApprovalCode	CurrencyRateID	SubTotal	TaxAmt	Freight	TotalDue	Comment	rowguid	ModifiedDate
44332	8	2011-09-03 00:00:00.000	2011-09-15 00:00:00.000	2011-09-10 00:00:00.000	5	1	SO44332	NULL	10-4030-017510	17510	NULL	9	14434	14434	1	3782	1135403Vi19905	1237	3578.27	286.2616	89.4568	3953.9884	NULL	7E2788FE-1CE2-4C82-95D8-C8219A204B0B	2011-09-10 00:00:00.000
44333	8	2011-09-04 00:00:00.000	2011-09-16 00:00:00.000	2011-09-11 00:00:00.000	5	1	SO44333	NULL	10-4030-011343	11343	NULL	10	20041	20041	1	8671	931753Vi44759	1257	3399.99	271.9992	84.9998	3756.989	NULL	B4C80016-E0B0-4438-8395-20A5ED514274	2011-09-11 00:00:00.000
44334	8	2011-09-04 00:00:00.000	2011-09-16 00:00:00.000	2011-09-11 00:00:00.000	5	1	SO44334	NULL	10-4030-028273	28273	NULL	4	19059	19059	1	18243	1131841Vi94617	NULL	3578.27	286.2616	89.4568	3953.9884	NULL	3495687E-E247-41AA-8683-932419378387	2011-09-11 00:00:00.000
44335	8	2011-09-04 00:00:00.000	2011-09-16 00:00:00.000	2011-09-11 00:00:00.000	5	1	SO44335	NULL	10-4030-020165	20165	NULL	10	28808	28808	1	8640	232668Vi44607	1257	699.0982	55.9279	17.4775	772.5036	NULL	D28F224D-9F28-4B8D-B493-0B8224B7C8B3	2011-09-11 00:00:00.000
44336	8	2011-09-04 00:00:00.000	2011-09-16 00:00:00.000	2011-09-11 00:00:00.000	5	1	SO44336	NULL	10-4030-025895	25895	NULL	1	23775	23775	1	15905	633272Vi82165	NULL	3399.99	271.9992	84.9998	3756.989	NULL	20AD10A6-504C-4E5C-A06D-E4FB4DB5A4A6	2011-09-11 00:00:00.000
44337	8	2011-09-04 00:00:00.000	2011-09-16 00:00:00.000	2011-09-11 00:00:00.000	5	1	SO44337	NULL	10-4030-011097	11097	NULL	9	22275	22275	1	7265	834144Vi37703	1250	3374.99	269.9992	84.3748	3729.364	NULL	0838DBD4-443C-40B9-9125-1B20AF8CA06F	2011-09-11 00:00:00.000
44338	8	2011-09-04 00:00:00.000	2011-09-16 00:00:00.000	2011-09-11 00:00:00.000	5	1	SO44338	NULL	10-4030-018188	18188	NULL	9	27121	27121	1	5117	835317Vi26772	1250	3578.27	286.2616	89.4568	3953.9884	NULL	DF67EAA9-A4A5-496D-A4C7-788D4FC9C561	2011-09-11 00:00:00.000
44339	8	2011-09-04 00:00:00.000	2011-09-16 00:00:00.000	2011-09-11 00:00:00.000	5	1	SO44339	NULL	10-4030-018189	18189	NULL	9	24548	24548	1	15344	835318Vi79284	1250	3578.27	286.2616	89.4568	3953.9884	NULL	A0FB56FA-57BE-458A-912E-F8EFFC2AF89B	2011-09-11 00:00:00.000
44340	8	2011-09-04 00:00:00.000	2011-09-16 00:00:00.000	2011-09-11 00:00:00.000	5	1	SO44340	NULL	10-4030-017354	17354	NULL	9	17243	17243	1	18704	935398Vi97250	1250	3578.27	286.2616	89.4568	3953.9884	NULL	7F2E1E96-DBA4-4A94-AB08-7F67F411058D	2011-09-11 00:00:00.000
44341	8	2011-09-05 00:00:00.000	2011-09-17 00:00:00.000	2011-09-12 00:00:00.000	5	1	SO44341	NULL	10-4030-025905	25905	NULL	4	15005	15005	1	14071	333275Vi72973	NULL	3374.99	269.9992	84.3748	3729.364	NULL	B2B6D7E6-FC2A-430E-A5B9-D55F5455C4B2	2011-09-12 00:00:00.000
